------------+----------------+--------------+---------------------------------+---------------------+------------------+--------------------------+--------------------------+-----------------+--------------+--------------------------+-------------
 postgresql | relief_tracker | public       | django_migrations               | id                  |                1 | bigint                   |                          | PRIMARY KEY     |              |                          |
 postgresql | relief_tracker | public       | django_content_type             | id                  |                1 | integer                  |                          | PRIMARY KEY     |              |                          |
 postgresql | relief_tracker | public       | django_content_type             | app_label           |                3 | character varying        |                      100 | UNIQUE          |              |                          |
 postgresql | relief_tracker | public       | django_content_type             | model               |                4 | character varying        |                      100 | UNIQUE          |              |                          |
 postgresql | relief_tracker | public       | auth_permission                 | id                  |                1 | integer                  |                          | PRIMARY KEY     |              |                          |
 postgresql | relief_tracker | public       | auth_group                      | id                  |                1 | integer                  |                          | PRIMARY KEY     |              |                          |
 postgresql | relief_tracker | public       | auth_group_permissions          | id                  |                1 | bigint                   |                          | PRIMARY KEY     |              |                          |
 postgresql | relief_tracker | public       | auth_permission                 | content_type_id     |                3 | integer                  |                          | UNIQUE          |              |                          |
 postgresql | relief_tracker | public       | auth_permission                 | codename            |                4 | character varying        |                      100 | UNIQUE          |              |                          |
 postgresql | relief_tracker | public       | auth_permission                 | content_type_id     |                3 | integer                  |                          | FOREIGN KEY     | public       | django_content_type      | id
 postgresql | relief_tracker | public       | auth_group_permissions          | group_id            |                2 | integer                  |                          | UNIQUE          |              |                          |
 postgresql | relief_tracker | public       | auth_group_permissions          | permission_id       |                3 | integer                  |                          | UNIQUE          |              |                          |
 postgresql | relief_tracker | public       | auth_group_permissions          | group_id            |                2 | integer                  |                          | FOREIGN KEY     | public       | auth_group               | id
 postgresql | relief_tracker | public       | auth_group_permissions          | permission_id       |                3 | integer                  |                          | FOREIGN KEY     | public       | auth_permission          | id
 postgresql | relief_tracker | public       | auth_group                      | name                |                2 | character varying        |                      150 | UNIQUE          |              |                          |
 postgresql | relief_tracker | public       | accounts_user                   | id                  |                1 | bigint                   |                          | PRIMARY KEY     |              |                          |
 postgresql | relief_tracker | public       | accounts_user                   | username            |                5 | character varying        |                      150 | UNIQUE          |              |                          |
 postgresql | relief_tracker | public       | accounts_user_groups            | id                  |                1 | bigint                   |                          | PRIMARY KEY     |              |                          |
 postgresql | relief_tracker | public       | accounts_user_user_permissions  | id                  |                1 | bigint                   |                          | PRIMARY KEY     |              |                          |
 postgresql | relief_tracker | public       | accounts_user_groups            | user_id             |                2 | bigint                   |                          | UNIQUE          |              |                          |
 postgresql | relief_tracker | public       | accounts_user_groups            | group_id            |                3 | integer                  |                          | UNIQUE          |              |                          |
 postgresql | relief_tracker | public       | accounts_user_groups            | user_id             |                2 | bigint                   |                          | FOREIGN KEY     | public       | accounts_user            | id
 postgresql | relief_tracker | public       | accounts_user_groups            | group_id            |                3 | integer                  |                          | FOREIGN KEY     | public       | auth_group               | id
 postgresql | relief_tracker | public       | accounts_user_user_permissions  | user_id             |                2 | bigint                   |                          | UNIQUE          |              |                          |
 postgresql | relief_tracker | public       | accounts_user_user_permissions  | permission_id       |                3 | integer                  |                          | UNIQUE          |              |                          |
